fish_genus_species,predator_min_length,predator_max_length,predator_average_length,length type,length_units,sample_size,start_year,start_month,start_day,end_year,end_month,end_day,habitat,measurement_type,measurement_units,author,year,journal,site name,sampling interval,citation,figure,fish_id,data_sorted_by,notes,prey_taxon,measurement
Lepomis macrochirus,80,149,,,mm,1,1998,April,1,1998,April,1,lentic,number,,harris,1999,Proceedings of the South Dakota Academy of Science,"Richmond Lake, South Dakota",monthly,"Harris, N. J., Galinat, G. F., & Willis, D. W. (1999). Seasonal food habits of bluegills in Richmond Lake, South Dakota. In Proceedings of the South Dakota Academy of Science (Vol. 78, pp. 79-86).",tbl1,,,,Chironomidae,45
Lepomis macrochirus,80,149,,,mm,1,1998,April,1,1998,April,1,lentic,number,,harris,1999,Proceedings of the South Dakota Academy of Science,"Richmond Lake, South Dakota",monthly,"Harris, N. J., Galinat, G. F., & Willis, D. W. (1999). Seasonal food habits of bluegills in Richmond Lake, South Dakota. In Proceedings of the South Dakota Academy of Science (Vol. 78, pp. 79-86).",tbl1,,,,Corixidae,2
Lepomis macrochirus,80,149,,,mm,1,1998,June,1,1998,June,1,lentic,number,,harris,1999,Proceedings of the South Dakota Academy of Science,"Richmond Lake, South Dakota",monthly,"Harris, N. J., Galinat, G. F., & Willis, D. W. (1999). Seasonal food habits of bluegills in Richmond Lake, South Dakota. In Proceedings of the South Dakota Academy of Science (Vol. 78, pp. 79-86).",tbl1,,,,Daphnia spp.,26
Lepomis macrochirus,80,149,,,mm,1,1998,June,1,1998,June,1,lentic,number,,harris,1999,Proceedings of the South Dakota Academy of Science,"Richmond Lake, South Dakota",monthly,"Harris, N. J., Galinat, G. F., & Willis, D. W. (1999). Seasonal food habits of bluegills in Richmond Lake, South Dakota. In Proceedings of the South Dakota Academy of Science (Vol. 78, pp. 79-86).",tbl1,,,,Calanoid copepods,34
Lepomis macrochirus,80,149,,,mm,1,1998,June,1,1998,June,1,lentic,number,,harris,1999,Proceedings of the South Dakota Academy of Science,"Richmond Lake, South Dakota",monthly,"Harris, N. J., Galinat, G. F., & Willis, D. W. (1999). Seasonal food habits of bluegills in Richmond Lake, South Dakota. In Proceedings of the South Dakota Academy of Science (Vol. 78, pp. 79-86).",tbl1,,,,Chironomidae,9
Lepomis macrochirus,80,149,,,mm,1,1998,June,1,1998,June,1,lentic,number,,harris,1999,Proceedings of the South Dakota Academy of Science,"Richmond Lake, South Dakota",monthly,"Harris, N. J., Galinat, G. F., & Willis, D. W. (1999). Seasonal food habits of bluegills in Richmond Lake, South Dakota. In Proceedings of the South Dakota Academy of Science (Vol. 78, pp. 79-86).",tbl1,,,,Corixidae,2
Lepomis macrochirus,80,149,,,mm,37,1998,August,1,1998,August,1,lentic,number,,harris,1999,Proceedings of the South Dakota Academy of Science,"Richmond Lake, South Dakota",monthly,"Harris, N. J., Galinat, G. F., & Willis, D. W. (1999). Seasonal food habits of bluegills in Richmond Lake, South Dakota. In Proceedings of the South Dakota Academy of Science (Vol. 78, pp. 79-86).",tbl1,,,,Daphnia spp.,8225
Lepomis macrochirus,80,149,,,mm,37,1998,August,1,1998,August,1,lentic,number,,harris,1999,Proceedings of the South Dakota Academy of Science,"Richmond Lake, South Dakota",monthly,"Harris, N. J., Galinat, G. F., & Willis, D. W. (1999). Seasonal food habits of bluegills in Richmond Lake, South Dakota. In Proceedings of the South Dakota Academy of Science (Vol. 78, pp. 79-86).",tbl1,,,,Calanoid copepods,2
Lepomis macrochirus,80,149,,,mm,37,1998,August,1,1998,August,1,lentic,number,,harris,1999,Proceedings of the South Dakota Academy of Science,"Richmond Lake, South Dakota",monthly,"Harris, N. J., Galinat, G. F., & Willis, D. W. (1999). Seasonal food habits of bluegills in Richmond Lake, South Dakota. In Proceedings of the South Dakota Academy of Science (Vol. 78, pp. 79-86).",tbl1,,,,Corixidae,21
Lepomis macrochirus,80,149,,,mm,37,1998,August,1,1998,August,1,lentic,number,,harris,1999,Proceedings of the South Dakota Academy of Science,"Richmond Lake, South Dakota",monthly,"Harris, N. J., Galinat, G. F., & Willis, D. W. (1999). Seasonal food habits of bluegills in Richmond Lake, South Dakota. In Proceedings of the South Dakota Academy of Science (Vol. 78, pp. 79-86).",tbl1,,,,Culicidae,1
Lepomis macrochirus,80,149,,,mm,37,1998,August,1,1998,August,1,lentic,number,,harris,1999,Proceedings of the South Dakota Academy of Science,"Richmond Lake, South Dakota",monthly,"Harris, N. J., Galinat, G. F., & Willis, D. W. (1999). Seasonal food habits of bluegills in Richmond Lake, South Dakota. In Proceedings of the South Dakota Academy of Science (Vol. 78, pp. 79-86).",tbl1,,,,Trichoptera,1
Lepomis macrochirus,80,149,,,mm,37,1998,October,1,1998,October,1,lentic,number,,harris,1999,Proceedings of the South Dakota Academy of Science,"Richmond Lake, South Dakota",monthly,"Harris, N. J., Galinat, G. F., & Willis, D. W. (1999). Seasonal food habits of bluegills in Richmond Lake, South Dakota. In Proceedings of the South Dakota Academy of Science (Vol. 78, pp. 79-86).",tbl1,,,,Daphnia spp.,494
Lepomis macrochirus,80,149,,,mm,37,1998,October,1,1998,October,1,lentic,number,,harris,1999,Proceedings of the South Dakota Academy of Science,"Richmond Lake, South Dakota",monthly,"Harris, N. J., Galinat, G. F., & Willis, D. W. (1999). Seasonal food habits of bluegills in Richmond Lake, South Dakota. In Proceedings of the South Dakota Academy of Science (Vol. 78, pp. 79-86).",tbl1,,,,Chironomidae,4
Lepomis macrochirus,80,149,,,mm,37,1998,October,1,1998,October,1,lentic,number,,harris,1999,Proceedings of the South Dakota Academy of Science,"Richmond Lake, South Dakota",monthly,"Harris, N. J., Galinat, G. F., & Willis, D. W. (1999). Seasonal food habits of bluegills in Richmond Lake, South Dakota. In Proceedings of the South Dakota Academy of Science (Vol. 78, pp. 79-86).",tbl1,,,,Corixidae,9
Lepomis macrochirus,150,199,,,mm,11,1998,April,1,1998,April,1,lentic,number,,harris,1999,Proceedings of the South Dakota Academy of Science,"Richmond Lake, South Dakota",monthly,"Harris, N. J., Galinat, G. F., & Willis, D. W. (1999). Seasonal food habits of bluegills in Richmond Lake, South Dakota. In Proceedings of the South Dakota Academy of Science (Vol. 78, pp. 79-86).",tbl1,,,,Daphnia spp.,5567
Lepomis macrochirus,150,199,,,mm,11,1998,April,1,1998,April,1,lentic,number,,harris,1999,Proceedings of the South Dakota Academy of Science,"Richmond Lake, South Dakota",monthly,"Harris, N. J., Galinat, G. F., & Willis, D. W. (1999). Seasonal food habits of bluegills in Richmond Lake, South Dakota. In Proceedings of the South Dakota Academy of Science (Vol. 78, pp. 79-86).",tbl1,,,,Trichoptera,2
Lepomis macrochirus,150,199,,,mm,11,1998,April,1,1998,April,1,lentic,number,,harris,1999,Proceedings of the South Dakota Academy of Science,"Richmond Lake, South Dakota",monthly,"Harris, N. J., Galinat, G. F., & Willis, D. W. (1999). Seasonal food habits of bluegills in Richmond Lake, South Dakota. In Proceedings of the South Dakota Academy of Science (Vol. 78, pp. 79-86).",tbl1,,,,Plecoptera,1
Lepomis macrochirus,150,199,,,mm,11,1998,April,1,1998,April,1,lentic,number,,harris,1999,Proceedings of the South Dakota Academy of Science,"Richmond Lake, South Dakota",monthly,"Harris, N. J., Galinat, G. F., & Willis, D. W. (1999). Seasonal food habits of bluegills in Richmond Lake, South Dakota. In Proceedings of the South Dakota Academy of Science (Vol. 78, pp. 79-86).",tbl1,,,,Ephemeroptera,3
Lepomis macrochirus,150,199,,,mm,11,1998,April,1,1998,April,1,lentic,number,,harris,1999,Proceedings of the South Dakota Academy of Science,"Richmond Lake, South Dakota",monthly,"Harris, N. J., Galinat, G. F., & Willis, D. W. (1999). Seasonal food habits of bluegills in Richmond Lake, South Dakota. In Proceedings of the South Dakota Academy of Science (Vol. 78, pp. 79-86).",tbl1,,,,Chironomidae,312
